"Table 3: GDHI by combined authority and city region: GDHI per head of population at current basic prices, pounds",,,,,,,,,,,,,,,,,,,,,,,,,,,
Geo code,Area,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
E61000001,Greater London Authority,"12,898","13,329","14,169","15,207","15,765","15,982","16,664","17,569","18,587","19,521","20,924","21,540","21,431","21,575","21,391","22,698","23,906","24,890","26,652","27,099","27,599","29,104","29,719","29,245","30,662","32,330"
Not available,Inner London,"14,155","14,716","15,834","17,216","17,620","17,708","18,364","19,641","21,187","22,835","24,844","25,779","25,728","25,606","25,096","26,787","28,641","30,130","32,291","32,932","33,738","35,715","36,631","35,995","37,937","39,667"
Not available,Outer London,"12,124","12,471","13,129","13,935","14,577","14,870","15,568","16,232","16,903","17,371","18,376","18,783","18,630","18,949","18,971","20,037","20,830","21,499","23,008","23,341","23,655","24,860","25,296","24,952","26,060","27,655"
E47000001,Greater Manchester Combined Authority,"9,460","9,574","10,188","10,654","10,973","11,229","11,498","11,888","12,236","12,658","13,104","13,256","13,669","13,751","13,880","14,342","14,748","15,131","15,802","15,909","16,366","16,903","17,487","17,654","18,138","19,094"
E47000002,South Yorkshire Mayoral Combined Authority,"8,820","8,988","9,495","9,954","10,417","10,646","11,004","11,418","11,626","11,932","12,342","12,506","12,889","12,953","13,158","13,586","13,989","14,561","15,127","15,228","15,714","16,218","16,633","16,873","17,303","18,070"
E47000003,West Yorkshire Combined Authority,"9,487","9,658","10,101","10,671","10,932","11,160","11,514","11,896","12,112","12,480","13,056","13,197","13,461","13,533","13,703","14,070","14,522","14,896","15,579","15,629","16,041","16,571","17,106","17,308","17,739","18,587"
E47000004,Liverpool City Region Combined Authority,"9,179","9,323","9,804","10,201","10,558","10,863","11,260","11,674","12,009","12,375","12,926","13,145","13,765","13,921","14,023","14,489","14,953","15,300","15,905","16,050","16,399","16,808","17,383","17,606","17,932","18,722"
E47000006,Tees Valley Combined Authority,"9,036","8,829","9,263","9,738","10,261","10,413","10,698","11,179","11,560","11,961","12,257","12,515","13,098","13,231","13,439","14,008","14,252","14,724","15,131","15,328","15,665","16,075","16,621","16,952","17,211","17,994"
E47000007,West Midlands Combined Authority,"9,009","9,211","9,589","10,099","10,480","10,680","10,863","11,230","11,264","11,562","11,866","12,098","12,456","12,651","12,777","13,127","13,509","14,052","14,612","14,878","15,081","15,485","15,922","16,120","16,607","17,464"
E47000008,Cambridgeshire and Peterborough Combined Authority,"10,934","11,241","11,949","12,470","12,735","13,170","13,227","13,776","14,543","15,177","15,732","16,033","16,273","16,393","16,428","16,957","17,588","18,364","19,156","19,543","19,911","20,542","21,250","21,118","21,656","22,816"
E47000009,West of England Combined Authority,"11,017","11,268","11,769","12,154","12,507","12,635","12,995","13,390","13,742","14,498","15,094","15,599","15,537","15,891","16,182","16,569","17,197","17,883","18,993","19,226","19,660","20,547","21,203","20,844","21,755","23,166"
E47000012,York and North Yorkshire Combined Authority,"10,322","10,938","11,736","11,992","12,535","12,995","13,006","12,756","13,026","13,694","14,475","14,556","15,123","15,206","15,336","16,006","16,444","17,094","17,927","18,068","18,665","19,638","20,214","20,322","20,902","21,981"
E47000013,East Midlands Combined Authority,"9,194","9,448","9,932","10,247","10,759","11,059","11,522","11,980","12,233","12,665","13,364","13,567","13,813","13,727","13,903","14,403","14,952","15,452","16,269","16,298","16,674","17,183","17,754","18,025","18,479","19,379"
E47000014,North East Combined Authority,"9,131","9,259","9,573","10,073","10,512","10,706","11,053","11,571","11,745","12,177","12,495","12,792","13,358","13,604","13,727","14,302","14,671","15,040","15,648","15,852","16,167","16,612","17,118","17,337","17,723","18,525"
Not available,Greater Brighton City Region,"11,830","12,061","12,397","13,056","13,701","13,957","14,218","14,728","15,370","15,837","16,475","16,779","17,204","17,305","17,515","17,989","18,777","19,170","20,312","20,768","21,363","22,119","22,771","22,396","23,156","24,631"
