,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Daily Grand Total,"143,101,700",,Monthly Grand Total,"143,101,700",,Annual Grand Total,"142,845,681",,,,,,,
,,,,,,,,,,,,,,
Day,Number of Bicycle Hires,,Month,Number of Bicycle Hires,,Year,Number of Bicycle Hires,,,Month,Average Hire Time (mins),,Against last month,Against last year
30/07/2010,"6,897",,Jul 10,"12,461",,2010,"2,180,813",,,Jul 10,17,,,
31/07/2010,"5,564",,Aug 10,"341,203",,2011,"7,142,449",,,Aug 10,17,,,
01/08/2010,"4,303",,Sep 10,"540,859",,2012,"9,519,283",,,Sep 10,15,,,
02/08/2010,"6,642",,Oct 10,"544,412",,2013,"8,045,459",,,Oct 10,15,,,
03/08/2010,"7,966",,Nov 10,"456,304",,2014,"10,023,897",,,Nov 10,14,,,
04/08/2010,"7,893",,Dec 10,"285,574",,2015,"9,871,839",,,Dec 10,17,,,
05/08/2010,"8,724",,Jan 11,"403,178",,2016,"10,303,637",,,Jan 11,16,,,
06/08/2010,"9,797",,Feb 11,"398,292",,2017,"10,446,044",,,Feb 11,17,,,
07/08/2010,"6,631",,Mar 11,"556,155",,2018,"10,567,540",,,Mar 11,20,,,
08/08/2010,"7,864",,Apr 11,"673,639",,2019,"10,168,936",,,Apr 11,27,,,
09/08/2010,"6,191",,May 11,"722,072",,2020,"10,434,167",,,May 11,15,,,
10/08/2010,"4,802",,Jun 11,"638,717",,2021,"10,941,264",,,Jun 11,16,,,
11/08/2010,"14,013",,Jul 11,"708,454",,2022,"11,505,872",,,Jul 11,16,,,
12/08/2010,"13,080",,Aug 11,"642,440",,2023,"8,531,168",,,Aug 11,18,,,
13/08/2010,"12,151",,Sep 11,"684,780",,2024,"8,768,238",,,Sep 11,17,,,
14/08/2010,"9,195",,Oct 11,"708,802",,2025,"4,395,075",,,Oct 11,17,,3.51%,30.20%
15/08/2010,"10,928",,Nov 11,"597,191",,,,,,Nov 11,16,,-15.75%,30.88%
16/08/2010,"15,384",,Dec 11,"408,729",,,,,,Dec 11,19,,-31.56%,43.13%
17/08/2010,"15,396",,Jan 12,"494,325",,,,,,Jan 12,17,,20.94%,22.61%
18/08/2010,"16,062",,Feb 12,"481,826",,,,,,Feb 12,17,,-2.53%,20.97%
19/08/2010,"17,170",,Mar 12,"818,209",,,,,,Mar 12,21,,69.81%,47.12%
20/08/2010,"16,462",,Apr 12,"649,473",,,,,,Apr 12,21,,-20.62%,-3.59%
21/08/2010,"11,719",,May 12,"926,952",,,,,,May 12,22,,42.72%,28.37%
22/08/2010,"10,129",,Jun 12,"858,805",,,,,,Jun 12,22,,-7.35%,34.46%
23/08/2010,"12,935",,Jul 12,"1,014,174",,,,,,Jul 12,23,,18.09%,43.15%
24/08/2010,"17,006",,Aug 12,"1,163,171",,,,,,Aug 12,23,,14.69%,81.06%
25/08/2010,"10,062",,Sep 12,"1,015,145",,,,,,Sep 12,20,,-12.73%,48.24%
26/08/2010,"9,875",,Oct 12,"856,866",,,,,,Oct 12,18,,-15.59%,20.89%
27/08/2010,"12,854",,Nov 12,"726,893",,,,,,Nov 12,17,,-15.17%,21.72%
28/08/2010,"10,116",,Dec 12,"513,444",,,,,,Dec 12,19,,-29.36%,25.62%
29/08/2010,"7,811",,Jan 13,"565,589",,,,,,Jan 13,17,,10.16%,14.42%
30/08/2010,"10,534",,Feb 13,"516,588",,,,,,Feb 13,16,,-8.66%,7.21%
31/08/2010,"17,508",,Mar 13,"504,611",,,,,,Mar 13,16,,-2.32%,-38.33%
01/09/2010,"19,332",,Apr 13,"658,230",,,,,,Apr 13,20,,30.44%,1.35%
02/09/2010,"20,909",,May 13,"749,934",,,,,,May 13,22,,13.93%,-19.10%
03/09/2010,"20,113",,Jun 13,"813,631",,,,,,Jun 13,22,,8.49%,-5.26%
04/09/2010,"14,373",,Jul 13,"998,755",,,,,,Jul 13,25,,22.75%,-1.52%
05/09/2010,"12,924",,Aug 13,"904,155",,,,,,Aug 13,25,,-9.47%,-22.27%
06/09/2010,"16,841",,Sep 13,"701,724",,,,,,Sep 13,19,,-22.39%,-30.87%
07/09/2010,"25,361",,Oct 13,"674,154",,,,,,Oct 13,17,,-3.93%,-21.32%
08/09/2010,"18,727",,Nov 13,"514,146",,,,,,Nov 13,15,,-23.73%,-29.27%
09/09/2010,"20,774",,Dec 13,"443,942",,,,,,Dec 13,18,,-13.65%,-13.54%
10/09/2010,"19,532",,Jan 14,"493,870",,,,,,Jan 14,15,,11.25%,-12.68%
11/09/2010,"13,383",,Feb 14,"522,940",,,,,,Feb 14,17,,5.89%,1.23%
12/09/2010,"14,002",,Mar 14,"757,864",,,,,,Mar 14,20,,44.92%,50.19%
